,state,district,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,N,P,K
173,andhra pradesh,mahbubnagar,0.0,0.0,8.2,6.2,23.4,155.1,85.3,124.1,144.5,162.9,0.6,0.0,L,L,H
174,andhra pradesh,medak,0.0,0.0,13.3,0.0,4.9,202.5,147.0,214.6,68.1,101.9,0.0,0.0,M,L,H
175,assam,morigaon,0.0,6.6,24.6,220.4,170.8,246.0,231.0,370.8,105.0,145.4,20.2,0.0,L,M,M
176,bihar,muzaffarpur,0.1,0.0,13.7,5.3,100.3,67.9,375.4,225.4,80.9,1.5,0.0,0.0,M,M,L
177,assam,nagaon,0.0,12.7,58.4,155.7,205.1,210.4,208.5,274.7,180.6,110.4,19.5,6.7,M,M,L
178,bihar,nalanda,0.0,0.0,2.1,0.0,19.9,34.1,356.1,183.1,93.5,11.9,0.0,0.0,M,M,M
179,andhra pradesh,nalgonda,0.0,0.0,0.6,7.3,12.1,146.0,96.3,131.1,154.0,106.3,0.6,0.0,M,L,H
180,andhra pradesh,nellore,6.6,0.0,4.8,3.6,21.3,91.2,73.0,196.8,169.0,178.1,224.1,7.7,M,L,H
181,andhra pradesh,nizamabad,0.0,0.0,9.7,0.1,9.8,204.9,154.2,264.7,67.9,118.1,1.5,23.2,L,L,M
182,assam,n c hills,0.0,43.2,127.9,354.7,254.7,360.5,236.8,292.0,356.9,344.1,28.5,23.2,L,M,L
183,odisha,balasore,0.0,0.0,114.7,28.5,180.1,148.1,350.4,247.4,221.0,251.5,50.5,0.4,M,L,M
184,odisha,bargarh,4.9,0.0,10.5,0.0,13.6,249.1,254.2,239.3,117.3,59.7,1.3,0.4,M,M,M
185,odisha,bhadrak,0.0,0.0,44.1,7.3,37.0,169.3,269.3,229.9,140.7,251.7,54.6,0.4,L,L,M
186,odisha,bolangir,0.6,0.0,3.2,1.1,6.3,182.6,238.3,218.6,140.1,70.4,1.1,0.4,M,M,H
187,odisha,deogarh,0.3,0.0,44.1,0.3,60.6,276.6,446.1,382.4,224.2,54.5,12.5,0.4,M,M,M
188,odisha,dhenkanal,0.0,0.0,29.5,7.5,70.2,147.0,210.9,245.8,216.7,181.0,48.1,0.4,L,M,M
189,odisha,gajapati,0.0,0.0,76.5,32.5,129.3,209.3,269.9,296.4,146.4,198.1,73.1,0.4,L,L,M
190,odisha,ganjam,0.0,0.0,64.6,32.0,52.5,223.1,288.7,251.5,185.7,192.4,71.8,0.4,L,L,L
191,odisha,jagatsinghpur,0.0,0.0,61.3,2.9,84.8,187.7,226.7,275.6,121.9,267.6,79.5,0.4,L,M,M
192,odisha,jharsuguda,10.7,0.0,6.0,2.0,63.5,209.4,413.6,300.0,236.1,90.7,0.1,0.4,M,L,M
193,odisha,kalahandi,0.0,0.0,22.0,2.1,21.2,191.4,466.7,349.6,184.3,119.6,1.0,0.4,L,M,M
194,odisha,khurda,3.4,0.0,40.3,11.4,19.0,155.2,338.8,245.0,231.3,240.3,63.9,0.4,L,M,M
195,odisha,koraput,0.0,0.0,8.8,15.3,70.6,225.4,417.8,397.4,191.0,231.8,8.5,0.4,M,M,M
196,odisha,malkangiri,0.0,0.0,6.4,8.0,32.6,294.8,514.0,718.0,407.0,120.0,0.0,0.4,M,M,M
197,odisha,mayurbhanj,1.4,0.0,49.8,20.6,131.1,173.4,372.9,313.8,180.9,220.1,39.3,0.4,L,L,H
198,odisha,nayagarh,0.0,0.0,55.8,9.5,25.9,127.3,320.1,242.7,183.7,175.1,53.3,0.4,L,M,L
