,state,district,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
379,nagaland,dimapur,0.4,0.4,90.7,226.0,111.7,345.5,470.7,492.5,233.9,128.8,16.4,6.7
380,nagaland,kephire,0.0,0.0,87.0,119.8,43.2,215.0,164.8,134.0,328.8,178.6,5.4,6.7
381,nagaland,kohima,1.6,0.5,99.2,127.4,201.7,308.2,475.0,242.5,328.8,178.6,5.4,6.7
382,nagaland,longleng,2.0,0.9,115.2,184.2,284.8,307.2,425.0,442.5,320.6,187.2,8.0,6.7
383,nagaland,mokokchung,2.0,0.9,115.2,184.2,284.8,307.2,425.0,442.5,320.6,187.2,8.0,6.7
384,nagaland,mon,2.0,0.9,115.2,184.2,284.8,307.2,425.0,442.5,320.6,187.2,8.0,6.7
385,nagaland,paren,5.5,0.9,83.0,110.7,77.0,250.9,158.0,266.7,181.0,187.2,10.0,6.7
386,nagaland,phek,5.5,0.9,83.0,110.7,77.0,250.9,158.0,266.7,181.0,187.2,10.0,6.7
387,nagaland,tuensang,0.0,2.0,94.0,227.0,198.0,193.0,137.0,35.0,53.0,110.4,19.5,6.7
388,nagaland,wokha,0.0,2.0,94.0,227.0,198.0,193.0,137.0,35.0,53.0,110.4,19.5,6.7
389,nagaland,zunheboto,0.0,12.7,58.4,155.7,205.1,210.4,208.5,274.7,180.6,110.4,19.5,6.7
390,assam,nagaon,0.0,12.7,58.4,155.7,205.1,210.4,208.5,274.7,180.6,110.4,19.5,6.7
391,bihar,nalanda,0.0,0.0,2.1,0.0,19.9,34.1,356.1,183.1,93.5,11.9,0.0,0.0
392,telangana,nalgonda,0.0,0.0,0.6,7.3,12.1,146.0,96.3,131.1,154.0,106.3,0.6,0.0
393,assam,nambari,4.6,31.5,65.9,308.4,218.6,392.8,306.0,255.3,342.0,131.4,14.0,0.0
394,bihar,nawada,0.0,0.0,2.0,0.0,13.2,28.5,332.4,213.9,53.7,28.9,0.0,0.0
395,andhra pradesh,nellore,6.6,0.0,4.8,3.6,21.3,91.2,73.0,196.8,169.0,178.1,224.1,7.7
396,andaman and nicobar islands,nicobar,643.1,20.1,69.7,144.2,344.2,199.5,170.2,253.2,290.5,233.7,277.2,488.4
397,telangana,nizamabad,0.0,0.0,9.7,0.1,9.8,204.9,154.2,264.7,67.9,118.1,1.5,23.2
398,assam,n c hills,0.0,43.2,127.9,354.7,254.7,360.5,236.8,292.0,356.9,344.1,28.5,23.2
399,odisha,angul,6.7,0.0,20.8,1.2,43.4,198.3,218.1,197.4,159.3,126.3,17.9,0.4
400,odisha,balasore,0.0,0.0,114.7,28.5,180.1,148.1,350.4,247.4,221.0,251.5,50.5,0.4
401,odisha,bargarh,4.9,0.0,10.5,0.0,13.6,249.1,254.2,239.3,117.3,59.7,1.3,0.4
402,odisha,bhadrak,0.0,0.0,44.1,7.3,37.0,169.3,269.3,229.9,140.7,251.7,54.6,0.4
403,odisha,bolangir,0.6,0.0,3.2,1.1,6.3,182.6,238.3,218.6,140.1,70.4,1.1,0.4
404,odisha,boudhgarh,0.0,0.0,3.7,0.0,1.3,304.6,282.0,191.4,202.2,152.9,16.0,0.4
405,odisha,cuttack,0.0,0.0,45.9,1.1,13.2,125.7,408.0,312.8,253.7,219.2,58.4,0.4
406,odisha,deogarh,0.3,0.0,44.1,0.3,60.6,276.6,446.1,382.4,224.2,54.5,12.5,0.4
407,odisha,dhenkanal,0.0,0.0,29.5,7.5,70.2,147.0,210.9,245.8,216.7,181.0,48.1,0.4
408,odisha,gajapati,0.0,0.0,76.5,32.5,129.3,209.3,269.9,296.4,146.4,198.1,73.1,0.4
409,odisha,ganjam,0.0,0.0,64.6,32.0,52.5,223.1,288.7,251.5,185.7,192.4,71.8,0.4
410,odisha,jagatsinghpur,0.0,0.0,61.3,2.9,84.8,187.7,226.7,275.6,121.9,267.6,79.5,0.4
411,odisha,jajpur,0.0,0.0,61.3,2.9,84.8,187.7,226.7,275.6,121.9,267.6,79.5,0.4
412,odisha,jharsuguda,10.7,0.0,6.0,2.0,63.5,209.4,413.6,300.0,236.1,90.7,0.1,0.4
413,odisha,kalahandi,0.0,0.0,22.0,2.1,21.2,191.4,466.7,349.6,184.3,119.6,1.0,0.4
414,odisha,kandhamal,0.0,0.0,25.0,1.6,38.7,221.4,195.0,253.4,209.5,203.5,35.6,0.4
415,odisha,kendrapara,0.0,0.0,78.7,1.0,32.9,145.1,322.9,370.9,152.8,244.5,129.1,0.4
416,odisha,keonjhargarh,1.8,0.0,36.7,14.9,132.4,183.4,349.6,266.5,188.5,179.0,24.9,0.4
417,odisha,khurda,3.4,0.0,40.3,11.4,19.0,155.2,338.8,245.0,231.3,240.3,63.9,0.4
418,odisha,koraput,0.0,0.0,8.8,15.3,70.6,225.4,417.8,397.4,191.0,231.8,8.5,0.4
419,odisha,malkangiri,0.0,0.0,6.4,8.0,32.6,294.8,514.0,718.0,407.0,120.0,0.0,0.4
420,odisha,mayurbhanj,1.4,0.0,49.8,20.6,131.1,173.4,372.9,313.8,180.9,220.1,39.3,0.4
421,odisha,nawapara,1.4,0.0,49.8,20.6,131.1,173.4,372.9,313.8,180.9,220.1,39.3,0.4
422,odisha,nawarangpur,0.0,0.0,10.4,15.1,51.1,246.3,440.0,424.2,177.6,100.7,2.2,0.4
423,odisha,nayagarh,0.0,0.0,55.8,9.5,25.9,127.3,320.1,242.7,183.7,175.1,53.3,0.4
424,odisha,puri,0.0,0.0,22.1,7.8,12.3,176.0,351.1,308.7,199.3,320.2,107.0,0.4
425,odisha,rayagada,0.0,0.0,39.7,5.3,67.2,223.9,375.0,296.1,187.9,191.7,32.7,0.4
426,odisha,sambalpur,15.5,0.0,15.7,0.8,41.3,307.9,411.7,267.2,176.5,55.1,8.4,0.4
